Name,FMISID,LPNN,WMO,Lat,Lon,Elevation,Started
Mikkeli airport AWOS,855522,,,61.69,27.21,101,1959
Mikkeli Pitkähiekka,101410,2614,,62.01,27.19,109,1956
Mikkeli Porrassalmenkatu,103149,,,61.69,27.27,89,2003
Multia Karhila,101536,3317,2927,62.51,24.81,227,2008
Multia Pirttiperä,101363,2427,,62.41,25.05,180,1991
Muonio Laukukero,101982,8307,2820,68.06,24.03,760,1996
Muonio parish,106435,8211,2823,67.96,23.68,236,2013
Muonio Sammaltunturi,101983,8308,2821,67.97,24.12,555,1991
Mustasaari Riimala,101474,3013,,62.97,21.78,15,1967
Mustasaari Valassaaret,101464,3003,2910,63.44,21.07,4,1895
Mäntsälä Hirvihaara,103794,1440,2774,60.63,25.19,83,2015
Mäntsälä Hirvihaara Kuntomajantie,101166,1415,,60.62,25.22,78,1908
Naantali keskusta Asematori,100824,,,60.47,22.03,14,1999
Nastola Rakokiventie siirrettävä,104091,,,60.94,25.96,20,2016
Nokia Tottijärvi,101116,1213,,61.4,23.34,99,1959
Northern Baltic Proper wavebuoy,134220,,,59.25,21,0,1996
Nurmes Mujejärvi,101763,4803,,63.82,29.45,252,1966
Nurmijärvi Röykkä,101149,1321,2983,60.51,24.65,111,1952
Närpiö 2,104077,,,62.47,21.34,8,2012
Närpiö Alamarkku,101468,3007,,62.63,21.49,35,1961
Oripää Teinikivi,101081,1117,,60.9,22.71,82,1968
Oulu airport,101786,5401,2875,64.93,25.37,11,1953
Oulu keskusta 2,103125,,,65.01,25.47,5,1997
Oulu Nokela,103124,,,64.99,25.48,8,1979
Oulu Oulunsalo Pellonpää,101799,5414,2851,64.94,25.37,10,2007
Oulu Pyykkösjärvi,103126,,,65.04,25.5,8,1991
Oulu Santapankki,103807,,,65.23,24.97,0,2015
Oulu Toppila,134248,,,65.04,25.42,0,1922
Oulu Vihreäsaari harbour,101794,5409,2876,65.01,25.39,3,1996
Outokumpu Viuruniemi,101590,3703,,62.62,28.94,113,1961
Parainen,104064,,,60.3,22.3,3,2010
Parainen Fagerholm,100924,19,2950,60.11,21.7,3,1989
Parainen Parainen,100843,,,60.3,22.28,20,2013
Parainen Rumar,100926,21,2933,60.13,21.64,61,1997
Parainen Utö,100908,2,2981,59.78,21.37,6,1881
Parikkala Koitsanlahti,101254,1802,2734,61.44,29.46,74,1991
Pelkosenniemi parish,101947,7604,,67.1,27.51,155,1968
Pelkosenniemi Pyhätunturi,101958,7708,2705,67.02,27.22,491,1995
Pello parish,101914,7307,2844,66.77,23.96,85,1970
Petäjävesi Kintaus,103813,,2775,62.3,25.44,271,2015
Pieksämäki Savontie,104108,,,62.3,27.16,111,2007
Pielavesi Venetmäki,101569,3516,,63.32,26.98,189,1986
Pietarsaari Bottenviksvägen,103152,,,63.68,22.72,8,1994
Pietarsaari Kallan,101660,4108,2920,63.75,22.52,2,1995
Pietarsaari Leppäluoto,134250,,,63.71,22.69,0,1922
Pirkkala Tampere-Pirkkala airport,101118,1215,2944,61.42,23.62,112,1979
Pori airport,101044,1001,2952,61.47,21.79,12,1945
Pori Kaijakari,104600,,,61.62,21.39,0,2016
Pori keskusta,103136,,,61.48,21.8,7,2006
Pori Mäntyluoto Kallo,134266,,,61.59,21.46,0,1925
Pori Paanakedonkatu,106420,,,61.48,21.81,2,2016
Pori Pastuskeri,103135,,,61.66,21.45,3,2012
Pori railway station,101064,1021,2926,61.48,21.78,9,2008
Pori Tahkoluoto harbour,101267,2013,2751,61.63,21.38,3,1996
Porvoo Emäsalo,101023,417,2991,60.2,25.63,19,1974
Porvoo Emäsalo Vaarlahti,100669,,,60.21,25.63,0,2014
Porvoo Harabacka,101028,422,2759,60.39,25.61,22,2006
Porvoo Kalbådagrund,101022,416,2987,59.99,25.6,0,1977
Porvoo Kilpilahti harbour,100683,424,2994,60.3,25.55,2,2014
Porvoo Mustijoki,103139,,,60.36,25.57,10,1991
Porvoo Nyby,103140,,,60.32,25.5,20,2011
Porvoo Svartbäck,103141,,,60.29,25.51,15,2013
Posio Raistakka,101881,6703,,65.98,28.17,260,1968
Pudasjärvi airfield,101805,5507,2866,65.4,26.96,120,1999
Pudasjärvi Jaurakkajärvi,101812,5607,,65.16,27.65,135,1968
Pudasjärvi Sarakylä,101877,6604,,65.79,27.33,162,1968
Puolanka Kotila,101830,5715,,64.67,28.03,280,1992
Puolanka Paljakka,101831,5716,2859,64.66,28.06,341,2009
Puumala parish,150168,2708,2718,61.52,28.18,98,2012
Pyhtää airfield,107029,513,,60.49,26.59,21,2019
