,DATE_m,TAVG,temp_celsius,Month,ref_temp,Diff,STATION
27,196104,20.116666666666667,-6.601851851851851,4,-3.067089018843405,-3.5347628330084464,SODANKYLA LOKKA FI
28,196105,36.983870967741936,2.7688172043010755,5,3.8892905697688795,-1.120473365467804,SODANKYLA LOKKA FI
29,196106,56.266666666666666,13.481481481481485,6,10.392184557438794,3.0892969240426904,SODANKYLA LOKKA FI
30,196107,58.596774193548384,14.775985663082437,7,13.516478342749528,1.2595073203329097,SODANKYLA LOKKA FI
31,196108,51.354838709677416,10.752688172043008,8,10.975930045729823,-0.22324187368681514,SODANKYLA LOKKA FI
32,196109,42.88333333333333,6.046296296296297,9,5.771551724137931,0.2747445721583661,SODANKYLA LOKKA FI
33,196110,40.91935483870968,4.9551971326164885,10,-0.8629959213941413,5.81819305401063,SODANKYLA LOKKA FI
34,196111,24.766666666666666,-4.018518518518518,11,-7.512292464878672,3.493773946360154,SODANKYLA LOKKA FI
35,196112,5.096774193548387,-14.946236559139788,12,-12.293752317389698,-2.6524842417500896,SODANKYLA LOKKA FI
36,196201,4.241935483870968,-15.421146953405017,1,-14.708388354398538,-0.7127585990064791,SODANKYLA LOKKA FI
37,196202,9.053571428571429,-12.748015873015873,2,-14.13026099732089,1.3822451243050171,SODANKYLA LOKKA FI
38,196203,-1.596774193548387,-18.664874551971327,3,-9.546836026745478,-9.118038525225849,SODANKYLA LOKKA FI
39,196204,29.833333333333332,-1.2037037037037037,4,-3.067089018843405,1.863385315139701,SODANKYLA LOKKA FI
40,196205,37.53225806451613,3.073476702508961,5,3.8892905697688795,-0.8158138672599184,SODANKYLA LOKKA FI
41,196206,47.15,8.416666666666666,6,10.392184557438794,-1.975517890772128,SODANKYLA LOKKA FI
42,196207,50.483870967741936,10.268817204301074,7,13.516478342749528,-3.2476611384484535,SODANKYLA LOKKA FI
43,196208,47.41935483870968,8.566308243727597,8,10.975930045729823,-2.409621802002226,SODANKYLA LOKKA FI
44,196209,41.266666666666666,5.148148148148149,9,5.771551724137931,-0.6234035759897818,SODANKYLA LOKKA FI
45,196210,29.29032258064516,-1.505376344086022,10,-0.8629959213941413,-0.6423804226918807,SODANKYLA LOKKA FI
46,196211,24.766666666666666,-4.018518518518517,11,-7.512292464878672,3.4937739463601547,SODANKYLA LOKKA FI
47,196212,-0.5,-18.055555555555554,12,-12.293752317389698,-5.7618032381658555,SODANKYLA LOKKA FI
48,196301,-0.6612903225806451,-18.145161290322584,1,-14.708388354398538,-3.4367729359240453,SODANKYLA LOKKA FI
49,196302,-0.6428571428571429,-18.134920634920636,2,-14.13026099732089,-4.004659637599746,SODANKYLA LOKKA FI
